,Unnamed: 0,iterations,numvotes,phi,numalternatives,Level-1 Consensus,Flexible Consensus,Single-peaked
13,13,1000.0,100.0,1.0,3.0,3.0,45.0,0.0
27,27,1000.0,200.0,1.0,3.0,0.0,45.0,0.0
41,41,1000.0,300.0,1.0,3.0,0.0,55.0,0.0
55,55,1000.0,400.0,1.0,3.0,0.0,57.0,0.0
69,69,1000.0,500.0,1.0,3.0,0.0,50.0,0.0
83,83,1000.0,600.0,1.0,3.0,0.0,40.0,0.0
97,97,1000.0,700.0,1.0,3.0,0.0,32.0,0.0
111,111,1000.0,800.0,1.0,3.0,2.0,44.0,0.0
125,125,1000.0,900.0,1.0,3.0,0.0,34.0,0.0
139,139,1000.0,1000.0,1.0,3.0,1.0,43.0,0.0
